"","LF_Number","total_prop_M","total_prop_VL","total_prop_L","total_prop_VH","total_prop_H","total_count_M","total_count_VL","total_count_L","total_count_VH","total_count_H","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count"
"1",1,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",5,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",6,0,0,0.25,0.75,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"6",7,0.2,0.2,0.4,0.2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
"7",8,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"8",9,0,0.333333333333333,0.666666666666667,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"9",10,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",11,0.5,0,0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"11",16,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"12",17,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"13",18,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"14",20,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"15",32,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"16",34,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"17",36,0.2,0,0,0.8,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"18",37,0.2,0,0,0.8,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"19",38,0.5,0,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"20",41,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"21",42,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"22",47,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"23",48,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"24",50,0,0,0.5,0.166666666666667,0.333333333333333,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
"25",53,0,0.833333333333333,0.166666666666667,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",54,0.5,0,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27",55,0.5,0,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"28",56,0.5,0,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"29",57,0.5,0,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"30",58,0,0,0,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"31",59,0,0,0,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"32",68,0.25,0,0,0.75,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"33",69,0,0,0,0.333333333333333,0.666666666666667,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
