"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",67,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"2",40,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"3",51,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"4",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"5",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"6",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"7",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"8",6,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"9",7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"10",8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"11",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"12",11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"13",15,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"14",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",29,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",36,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",37,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",38,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",39,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",41,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"26",45,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"27",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"28",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"29",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"30",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"31",65,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"32",69,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"33",4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"37",14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"39",20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"40",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"46",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"47",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"48",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"49",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"53",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"65",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"67",68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
